date,corr_30_BTC_NASDAQ,corr_30_BTC_GOLD,corr_30_BTC_DXY,corr_90_BTC_NASDAQ,corr_90_BTC_GOLD,corr_90_BTC_DXY,realized_vol_20,btc_momentum_20,dxy_change_20,real_yield_change_20,fng_level,fng_change_14,regime_RISK_ASSET,regime_HARD_ASSET,regime_IDIOSYNCRATIC,regime_MIXED,current_regime_label,target_regime_label
2018-08-27,-0.0391130908206562,-0.1444806919537324,-0.10896652461759486,-0.11200862476745647,-0.06529307090119599,-0.04385960472492352,0.5535551973636538,-0.17245796312173345,0.4199981689453125,-0.10999999999999999,18.0,-7.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-08-28,-0.10116339421768529,-0.07560263577226804,-0.22516351458380784,-0.07945079889183365,-0.05576090150945173,-0.06675456719859724,0.5474489877682303,-0.09204221152682106,0.23000335693360796,-0.06999999999999995,19.0,-4.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-08-29,-0.10407003745595235,-0.07988147464859564,-0.22632273031966058,-0.07869609108040604,-0.05304172750393044,-0.07336870581660362,0.5446068042790635,-0.0787958186809485,-0.02000427246095171,-0.09999999999999998,19.0,0.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-08-30,-0.09122579995346336,-0.0681216503547395,-0.2335151758870977,-0.017809072624264333,-0.07943325462738439,-0.05969502226926989,0.5448498324793147,-0.08102119736967425,-0.4499969482422017,-0.09999999999999998,22.0,1.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-08-31,-0.09255255904095941,-0.05696398025616537,-0.2599054104301771,-0.02579854120133557,-0.1076518229166434,-0.02823143067989167,0.5441118642725203,-0.054852178376175495,0.0,-0.04999999999999993,17.0,-4.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-09-04,-0.1241542912638403,-0.05774635160040077,-0.2519318570804183,-0.06613052402820015,-0.11125842159026941,-0.03473701313165,0.5144583910715554,0.05728488125840418,0.05999755859376421,-0.029999999999999916,26.0,10.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-09-05,0.01716320782035062,-0.12062107220103951,-0.1698214832903447,-0.022513292433855872,-0.11935673865390185,-0.013060864306639434,0.5810370348708704,0.005863017967333253,-0.09000396728517046,-0.039999999999999925,17.0,-1.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-09-06,0.08967743327131299,-0.11420217006668917,-0.17492516347978393,0.004269772658419101,-0.11538392047936535,-0.015853236431983834,0.5453682253604045,0.0348100037577954,-0.0800018310546875,-0.04999999999999993,14.0,-7.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-09-07,0.0642586455749228,-0.13761856725187369,-0.15638397718057492,0.008226378946070053,-0.11856790675580496,-0.01270640988447191,0.5274851248267671,-0.01552126742458728,-0.12999725341795454,0.020000000000000018,17.0,-2.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-09-10,0.1445871833842962,-0.14606226899116737,-0.1392313139944531,0.010843809726228238,-0.11925308953995503,-0.009258891983030634,0.4881122310816899,0.023172761726725485,-1.2099990844726562,0.05999999999999994,15.0,-11.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-09-11,0.19009228958962282,-0.1434517605097746,-0.13340840620829597,0.019035779695416432,-0.1402265881716618,-0.002855188430821441,0.4842368258282045,0.0037452776584893277,-1.3300018310546733,0.07999999999999996,18.0,-1.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-09-12,0.21702272787723012,-0.10500230328321519,-0.13124637981720116,0.017879202727499866,-0.13361625279477238,-0.005338450351015926,0.48096512357337606,0.024235696091028436,-1.9300003051757955,0.04999999999999993,14.0,-7.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-09-13,0.25205221159515384,-0.13395875721821907,-0.14791894694931343,0.034583188715873084,-0.1356887564955463,-0.008587739834454164,0.48533784353123893,0.03256061930635128,-2.159996032714858,0.08999999999999997,20.0,2.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-09-14,0.271713700350326,-0.1390304109807508,-0.14040899949838717,0.03397733952042122,-0.13533627885738425,-0.0039075251293721885,0.4853109765588131,0.02770845682453397,-1.6699981689453125,0.09999999999999998,23.0,4.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-09-17,0.31465744929209,-0.15449824025496386,-0.0950249688545856,0.0486594924416221,-0.14367007063780413,0.011079804146069497,0.4825727946255763,-0.04656939150346609,-1.5899963378906108,0.09999999999999998,25.0,7.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-09-18,0.409609218041237,-0.2136908919413601,-0.04749940571750843,0.06307333950693222,-0.13488000528522193,0.0028943416732536737,0.46289169873346303,0.009900847932948204,-1.2799987792968608,0.17000000000000004,21.0,2.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-09-19,0.4257457301860232,-0.20079146900866485,-0.05847264010240899,0.06062474306117148,-0.13595093108744005,-0.005644859271289127,0.4521487350428415,-0.014001567720769569,-0.7099990844726847,0.16000000000000003,24.0,5.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-09-20,0.4750184979082401,-0.1711490854042113,-0.11543433069394879,0.06821159894355695,-0.12518859651869188,-0.019383854813877745,0.45261535399449093,0.022171464933608966,-1.2399978637695312,0.18000000000000005,24.0,2.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-09-21,0.44426503573573156,-0.19658474752281443,-0.13802837872830645,0.05103967271734367,-0.1586314894957615,0.0017129356500646229,0.45861864764797683,0.030156448617253123,-1.4000015258789205,0.19000000000000006,31.0,14.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-09-24,0.40054891692050626,-0.21182065113674137,0.040642619489823666,0.05455644043055304,-0.15976692111440433,0.003279175644216649,0.45428920853024596,-0.018708220086532026,-0.8899993896484233,0.19000000000000006,43.0,17.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-09-25,0.40441358889421897,-0.18932215163509017,0.039377684313479225,0.0499479418993548,-0.1603355665420237,0.00781221549870308,0.45062506493521176,-0.06576013559316743,-0.6500015258789205,0.19999999999999996,37.0,20.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-09-26,0.42644789743706474,-0.19177905686856692,0.07175685169161726,0.05321114637381933,-0.16403851133586614,0.005086499666005112,0.4358973488545014,-0.08853802268074602,-0.5299987792968892,0.15000000000000002,37.0,23.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-09-27,0.5203477206057775,-0.20163874421863354,0.13991109247629077,0.055857190730472565,-0.17691951352584234,0.025400680002309647,0.44955287916983433,-0.05399337874641477,0.40000152587890625,0.14,42.0,25.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-09-28,0.5213997717321807,-0.20557388346584768,0.13311716014039834,0.05063414229654713,-0.17682283053353623,0.021874719993919184,0.44889067363276586,-0.04906155970817533,0.4700012207031108,0.15000000000000002,42.0,27.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-10-01,0.5372208904999161,-0.28697922307388574,0.20554165594890422,0.06679969407258883,-0.1728250700527881,0.042772084230403684,0.44748805449018275,-0.06576867066595812,0.1600036621093608,0.16999999999999993,35.0,17.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-10-02,0.5572876208510256,-0.255272913369391,0.17975901511775233,0.06770521446428734,-0.17615579833969575,0.0434396204324435,0.411458692848128,-0.11588954314886582,0.09000396728515625,0.13,33.0,19.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-10-03,0.5402608153647896,-0.26635396707848863,0.25555486437524344,0.06725513572928875,-0.17650481523231357,0.04680547442123627,0.3097093141941659,-0.043667120588850514,0.6300048828125284,0.17999999999999994,36.0,16.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-10-04,0.4481972912419864,-0.25899273808880785,0.24685787298045522,0.05460207588357249,-0.1753426075402569,0.04709021740444833,0.28099659502520774,0.007251752769376873,0.7300033569335938,0.22999999999999998,29.0,6.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-10-05,0.4269580179863433,-0.21702384847351688,0.20787752158801023,0.05252870695836352,-0.17244577976776324,0.04213605233599441,0.27945082174028363,0.02374679979351971,0.25,0.2300000000000001,37.0,12.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-10-09,0.35799826638616333,-0.42086037298769696,0.3448824642116123,0.04869767814819038,-0.17072863276286027,0.04384764424174003,0.26710759370313375,0.049600400962852856,0.620002746582017,0.18000000000000005,31.0,7.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-10-10,0.2759300075976422,-0.38394226252998825,0.3732569720289928,0.05346870504813755,-0.17168962993248624,0.044715212334335216,0.2696651682922044,0.03613657873185665,0.7099990844726847,0.21000000000000008,28.0,4.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-10-11,0.3308161651574316,-0.5023764019726578,0.4391193644668596,0.07151832458422361,-0.22050798735860744,0.06904866457358504,0.3119374037195382,-0.040882319967633286,0.4799957275390625,0.15000000000000002,19.0,-12.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-10-12,0.31987653152657236,-0.5158391530592481,0.44537893612274876,0.07198574513765986,-0.22136209400856535,0.07112321654002228,0.3123867160052917,-0.0372490832852,0.23999786376953125,0.14,13.0,-30.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-10-15,0.2549272257453512,-0.4150733978044325,0.37372692008558744,0.05685024613069728,-0.1993511678725225,0.06384344993361195,0.33464926745531076,0.048984198943261746,0.5599975585937358,0.14,20.0,-17.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-10-16,0.24822439094595986,-0.3901131751220233,0.3396278882169467,0.05558842652988789,-0.19904455007642594,0.06450311268489636,0.33194641225824306,0.03467656086506573,0.43000030517575283,0.10999999999999999,24.0,-13.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-10-17,0.19758190443051574,-0.4224870359829561,0.26192465620150673,0.06438886112088725,-0.196053106464755,0.06419451629680427,0.33343063631197273,0.022544487601759696,1.029998779296875,0.13,23.0,-19.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-10-18,0.18832919687782554,-0.4365363078030295,0.23006210223575776,0.07988186592559485,-0.2053728348525793,0.07097000025532932,0.3292421245429224,-0.006611089825615172,1.9899978637695312,0.15000000000000002,26.0,-16.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-10-19,0.18870644704604186,-0.4483420210993027,0.25273802774038956,0.0796799092091466,-0.20046152815460866,0.06774273745000389,0.3067857821841356,-0.040843962142808075,1.4899978637695312,0.17000000000000004,24.0,-11.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-10-22,0.20867538649096448,-0.46697898143381367,0.23205630755519063,0.0661326189237076,-0.20891153562864034,0.019787119422353797,0.29935774682118127,-0.016549113510118882,1.75,0.17000000000000004,27.0,-6.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-10-23,0.21324795920663325,-0.46609715300030613,0.23206137603079116,0.06498942856556258,-0.24493032227486175,0.02022086301740263,0.2885135731889169,0.004530195465319934,1.8300018310547017,0.14000000000000012,24.0,-12.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-10-24,0.16958089712121127,-0.4826929462217802,0.24095404419108057,0.053271816026492017,-0.24316938728717874,0.024101891287024512,0.28751569545536193,0.00012929783774877964,2.2399978637695455,0.10999999999999999,23.0,-6.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-10-25,0.11980150885036787,-0.4668532036946279,0.29575280042190205,0.049147821637886134,-0.24235474376022684,0.021712383313524857,0.2694384260336726,-0.030483520636586076,1.6800003051757812,0.18000000000000005,25.0,-12.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-10-26,0.1176905759505746,-0.47700198185523857,0.2973431412523963,0.047911343977565746,-0.24213410332387603,0.02157303875879376,0.2691855254371131,-0.025823743646461318,1.1699981689453267,0.10999999999999999,29.0,3.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-10-29,0.11034152861857435,-0.42115875731882224,0.1800409981468193,0.05576739723569996,-0.23759968874318388,0.015818706727663147,0.27791287369331,-0.039780088314928935,1.279998779296875,0.07000000000000006,34.0,3.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-10-30,0.09191203398565621,-0.4134581271992948,0.17498196488046136,0.053067815908079775,-0.23472231347497483,-0.02349501857806921,0.2777754811769741,-0.03442135148065586,1.5,0.14,31.0,3.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-10-31,0.08189092756876121,-0.40991358592502136,0.17975025613749623,0.06816155046188047,-0.22936794397809043,-0.016197155766309593,0.2768069180589411,-0.02885958460779044,1.3699951171874716,0.1100000000000001,32.0,13.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-11-01,0.07754158903911518,-0.377290119509506,0.20181909354930322,0.07570468893852211,-0.22580476848655076,-0.013928350580343191,0.27580241611232137,-0.030711529612412355,0.529998779296875,0.09000000000000008,29.0,16.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-11-02,0.08984352889473012,-0.33533375779228347,0.16808620753689876,0.08042190317621012,-0.22381457282563885,-0.02009384315601542,0.27436142672870584,-0.03597982124547287,0.9199981689452983,0.08999999999999986,36.0,16.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-11-06,0.12305368132953003,-0.36522586161064946,0.12500054253460194,0.0922160031619686,-0.2493864099639438,0.0263964890867934,0.27594387963059513,-0.027723879366105618,0.6399993896484375,0.10999999999999988,42.0,19.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-11-07,0.152638337978823,-0.35736779667104634,0.09517099973002767,0.08570409010991516,-0.22268192204752824,0.007039179908474729,0.2776185531198801,-0.008446381780695109,0.48999786376951704,0.08999999999999986,48.0,22.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-11-08,0.13559740937002782,-0.2815769485937616,-0.09663144675980982,0.08435890679159325,-0.21678911940649892,-0.005414707009741661,0.21237051197367812,0.03107733888951415,1.6200027465820312,0.1499999999999999,51.0,27.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-11-09,0.15118194894890669,-0.22553005928374137,-0.10621707038153308,0.0833637703436318,-0.21089384565247032,-0.0054351755460365055,0.21639263712108622,0.017542042748415268,1.69000244140625,0.11999999999999988,47.0,20.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-11-13,0.1511731711152982,-0.21998122083365984,-0.09668144995262712,0.07784217484464188,-0.2108832669193378,-0.0032624993367298617,0.121395772653956,-0.03653183829304877,2.25,0.09000000000000008,56.0,33.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-11-14,0.1388819102399072,-0.3086165610017628,0.16770572057079938,0.10127601067043562,-0.2548889586089949,0.05317965113180613,0.3701451642095401,-0.13144260346769404,1.220001220703125,0.06000000000000005,49.0,24.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-11-15,0.13892174855108225,-0.31206592191485927,0.16703296781005839,0.09410266802658707,-0.2530062115275848,0.045240462421792346,0.37133805067179354,-0.13690588559928,1.029998779296875,0.040000000000000036,28.0,-1.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-11-16,0.1477688134848179,-0.3249786020368886,0.18557279194265697,0.10605481761017382,-0.25115394703332333,0.052589274226068114,0.3714163018849889,-0.14807552062836155,0.7600021362304688,-0.030000000000000027,23.0,-11.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-11-19,0.2896885762978313,-0.2152700230660228,0.2339895698604484,0.1958370322897364,-0.23301967402155943,0.08582913557970426,0.5740569146589228,-0.2864249694899434,0.18000030517575283,-0.020000000000000018,28.0,-3.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
2018-11-20,0.3132020908589035,-0.18714792157437599,0.09420219585718909,0.2312103234185729,-0.2315140936336143,0.05604501759884028,0.6284490910790711,-0.37473866401176825,0.849998474121108,0.010000000000000009,21.0,-11.0,0,0,1,0,IDIOSYNCRATIC,IDIOSYNCRATIC
